Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S50734297,Common Goldeneye,Bucephala clangula,642,3,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.9369,-120.0566)",38.936938,-120.05658,2018-12-16,10:52 AM,eBird - Traveling Count,90,0,4.828,,7
S40684070,Common Goldeneye,Bucephala clangula,642,1,US-WA,Thurston,"CA-Eld Inlet (47.0589,-123.0051)",47.058877,-123.005138,2017-11-23,11:59 AM,eBird - Stationary Count,15,1,,,3
S34345229,Common Goldeneye,Bucephala clangula,642,5,US-WA,Thurston,"CA-Eld Inlet - 47.0573x-123.0057 - Feb 13, 2017, 9:02 AM",47.057313,-123.005657,2017-02-11,09:02 AM,eBird - Stationary Count,60,0,,,2
S50734297,Hooded Merganser,Lophodytes cucullatus,651,6,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.9369,-120.0566)",38.936938,-120.05658,2018-12-16,10:52 AM,eBird - Traveling Count,90,0,4.828,,7
S34152310,Hooded Merganser,Lophodytes cucullatus,651,4,US-WA,King,Seward Park,47.5538089,-122.2501301,2017-02-04,09:00 AM,eBird - Stationary Count,30,0,,,2
S40684070,Hooded Merganser,Lophodytes cucullatus,651,2,US-WA,Thurston,"CA-Eld Inlet (47.0589,-123.0051)",47.058877,-123.005138,2017-11-23,11:59 AM,eBird - Stationary Count,15,1,,,3
S30169128,Common Merganser,Mergus merganser,658,1,US-OR,Deschutes,Devil's Lake,44.0346655,-121.7622042,2016-03-30,05:00 PM,eBird - Stationary Count,60,1,,,2
S30169147,Common Merganser,Mergus merganser,658,6,US-OR,Deschutes,Smith Rock SP,44.3669375,-121.1371851,2016-05-29,01:00 PM,eBird - Traveling Count,240,1,8.047,,2
S42324092,Common Merganser,Mergus merganser,658,3,US-CA,El Dorado,"3737 Beach Rd, South Lake Tahoe US-CA (38.9510,-119.9594)",38.950979,-119.959359,2018-01-28,11:40 AM,eBird - Stationary Count,60,0,,,1
S50734297,Common Merganser,Mergus merganser,658,3,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.9369,-120.0566)",38.936938,-120.05658,2018-12-16,10:52 AM,eBird - Traveling Count,90,0,4.828,,7
S38634983,Common Merganser,Mergus merganser,658,2,US-CA,El Dorado,"Eldorado National Forest, Echo Lake US-CA (38.8562,-120.1365)",38.856162,-120.136465,2017-08-13,10:36 AM,eBird - Stationary Count,30,0,,,1
S34152310,Common Merganser,Mergus merganser,658,1,US-WA,King,Seward Park,47.5538089,-122.2501301,2017-02-04,09:00 AM,eBird - Stationary Count,30,0,,,2
S30097148,Common Merganser,Mergus merganser,658,6,US-WA,King,US-WA-Renton-Cedar River Park - 47.4656x-122.1338,47.465567,-122.133835,2016-06-05,03:58 PM,eBird - Stationary Count,120,1,,,2,,,"Cesar river park along the cedar river  <br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S35218716,Common Merganser,Mergus merganser,658,5,US-WA,King,US-WA-Seattle-Green Lake - 47.6766x-122.3388,47.676597,-122.338772,2017-03-16,08:48 AM,eBird - Traveling Count,30,0,6.437,,1
S30838701,Common Merganser,Mergus merganser,658,3,US-WA,Kittitas,US-WA-Cle Elum-Spectacle Lake - 47.4613x-121.2811,47.46131,-121.28106,2016-07-24,10:30 AM,eBird - Traveling Count,60,0,8.047,,2,,,"<br />Submitted from eBird for iOS, version 1.2.2 Build 70"
S47578103,California Quail,Callipepla californica,978,1,US-CA,El Dorado,"Lake Tahoe Airport, South Lake Tahoe US-CA (38.9088,-119.9884)",38.908812,-119.98837,2018-07-31,06:15 PM,eBird - Traveling Count,45,0,6.437,,1
S59684048,Gambel's Quail,Callipepla gambelii,988,10,US-UT,Washington,"Snow Canyon State Park, Saint George US-UT (37.2132,-113.6499)",37.213179,-113.64991,2019-09-08,08:36 AM,eBird - Traveling Count,10,0,1.609,,1
S52151500,Gray Francolin,Francolinus pondicerianus,1330,5,US-HI,Maui,"2737 S Kihei Rd, Kihei US-HI (20.7110,-156.4441)",20.711018,-156.444054,2019-01-28,02:06 PM,eBird - Traveling Count,10,0,.322,,1
S30935613,Ruffed Grouse,Bonasa umbellus,1590,3,US-WA,Chelan,US-WA-Leavenworth-Wenatchee National Forest - 47.5201x-120.8651,47.520105,-120.865144,2016-07-31,11:30 AM,eBird - Traveling Count,60,0,16.093,,4,,,"<br />Submitted from eBird for iOS, version 1.2.4 Build 72"
S59976775,Sooty Grouse,Dendragapus fuliginosus,1682,6,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.8299,-120.0368)",38.82995,-120.03675,2019-09-21,09:10 AM,eBird - Traveling Count,2,0,3.219,,1
S30665718,Wild Turkey,Meleagris gallopavo,1706,8,US-MT,Lake,Flathead Lake,47.9088353,-114.116397,2016-07-02,09:00 AM,eBird - Traveling Count,480,0,64.374,,2
S34152310,Pied-billed Grebe,Podilymbus podiceps,1756,6,US-WA,King,Seward Park,47.5538089,-122.2501301,2017-02-04,09:00 AM,eBird - Stationary Count,30,0,,,2
S35218716,Pied-billed Grebe,Podilymbus podiceps,1756,1,US-WA,King,US-WA-Seattle-Green Lake - 47.6766x-122.3388,47.676597,-122.338772,2017-03-16,08:48 AM,eBird - Traveling Count,30,0,6.437,,1
S30167940,Pied-billed Grebe,Podilymbus podiceps,1756,2,US-WA,King,Union Bay Natural Area / Montlake Fill,47.65424,-122.29137,2016-06-10,04:19 PM,eBird - Traveling Count,60,1,1.207,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S32786239,Horned Grebe,Podiceps auritus,1767,4,US-WA,Clallam,US-WA-Port Angeles-Olympic Discovery Trl - 48.1189x-123.4269,48.11891,-123.426897,2016-11-25,03:14 PM,eBird - Stationary Count,30,0,,,1
S34152310,Eared Grebe,Podiceps nigricollis,1777,2,US-WA,King,Seward Park,47.5538089,-122.2501301,2017-02-04,09:00 AM,eBird - Stationary Count,30,0,,,2
S25505711,Western Grebe,Aechmophorus occidentalis,1789,2,US-WA,Clallam,Ediz Hook,48.14035,-123.44711,2015-10-18,04:30 PM,eBird - Stationary Count,60,0,,,2
S25505775,Western Grebe,Aechmophorus occidentalis,1789,2,US-WA,King,Union Bay Natural Area / Montlake Fill,47.65424,-122.29137,2015-10-16,03:30 PM,eBird - Stationary Count,60,1,,,2
S30665718,Eurasian Collared-Dove,Streptopelia decaocto,1968,2,US-MT,Lake,Flathead Lake,47.9088353,-114.116397,2016-07-02,09:00 AM,eBird - Traveling Count,480,0,64.374,,2
S59684024,Greater Roadrunner,Geococcyx californianus,2945,1,US-UT,Washington,"84746, Leeds US-UT (37.2486,-113.3702)",37.248631,-113.370248,2019-09-09,08:35 AM,eBird - Traveling Count,30,0,48.28,,1
S33398494,Greater Roadrunner,Geococcyx californianus,2945,1,MX-BCS,,MX-BCS-La Paz-Carretera al Sargento - 24.0473x-109.9887,24.04728,-109.988655,2017-01-02,06:02 PM,eBird - Traveling Count,60,0,8.047,,1
S30204754,Rufous Hummingbird,Selasphorus rufus,4677,4,US-WA,King,US-WA-North Bend-Snoqualmie National Forest - 47.4352x-121.5129,47.435197,-121.512883,2016-06-12,09:52 AM,eBird - Traveling Count,90,1,.161,,2,,,Pratt Lake in the Alpine Lakes Wilderness Area near Snoqualmie Pass
S52151434,Hawaiian Coot,Fulica alai,5308,3,US-HI,Maui,"Keālia Pond, Maalaea US-HI (20.7933,-156.4746)",20.793333,-156.474642,2019-01-27,02:03 PM,eBird - Traveling Count,45,0,1.609,,3
S42324092,American Coot,Fulica americana,5311,10,US-CA,El Dorado,"3737 Beach Rd, South Lake Tahoe US-CA (38.9510,-119.9594)",38.950979,-119.959359,2018-01-28,11:40 AM,eBird - Stationary Count,60,0,,,1
S35218716,American Coot,Fulica americana,5311,20,US-WA,King,US-WA-Seattle-Green Lake - 47.6766x-122.3388,47.676597,-122.338772,2017-03-16,08:48 AM,eBird - Traveling Count,30,0,6.437,,1
S25505775,American Coot (Red-shielded),Fulica americana (Red-shielded),5314,30,US-WA,King,Union Bay Natural Area / Montlake Fill,47.65424,-122.29137,2015-10-16,03:30 PM,eBird - Stationary Count,60,1,,,2
S30665718,American Coot (Red-shielded),Fulica americana (Red-shielded),5314,1,US-MT,Lake,Flathead Lake,47.9088353,-114.116397,2016-07-02,09:00 AM,eBird - Traveling Count,480,0,64.374,,2
S52151434,Black-necked Stilt (Hawaiian),Himantopus mexicanus knudseni,5579,4,US-HI,Maui,"Keālia Pond, Maalaea US-HI (20.7933,-156.4746)",20.793333,-156.474642,2019-01-27,02:03 PM,eBird - Traveling Count,45,0,1.609,,3
S52151500,Pacific Golden-Plover,Pluvialis fulva,5620,2,US-HI,Maui,"2737 S Kihei Rd, Kihei US-HI (20.7110,-156.4441)",20.711018,-156.444054,2019-01-28,02:06 PM,eBird - Traveling Count,10,0,.322,,1
S31158888,Killdeer,Charadrius vociferus,5742,3,US-WA,King,Carkeek Park,47.7126411,-122.377647,2016-08-19,08:13 PM,eBird - Traveling Count,60,0,.322,,2,,,"<br />Submitted from eBird for iOS, version 1.2.6 Build 75"
S34938247,Killdeer,Charadrius vociferus,5742,1,US-WA,King,US-WA-Seattle-University of Washington - 47.6543x-122.2945,47.654333,-122.294485,2017-03-03,01:29 PM,eBird - Traveling Count,30,1,.805,,1
S30665718,Killdeer,Charadrius vociferus,5742,1,US-MT,Lake,Flathead Lake,47.9088353,-114.116397,2016-07-02,09:00 AM,eBird - Traveling Count,480,0,64.374,,2
S50734297,Wilson's Snipe,Gallinago delicata,5942,1,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.9369,-120.0566)",38.936938,-120.05658,2018-12-16,10:52 AM,eBird - Traveling Count,90,0,4.828,,7
S46255832,Spotted Sandpiper,Actitis macularius,5970,1,US-CA,El Dorado,"South Lake Tahoe, CA  96150, South Lake Tahoe US-CA (38.9006,-119.9344)",38.900619,-119.934382,2018-06-02,03:32 PM,eBird - Traveling Count,160,0,14.484,,2
S45867884,Spotted Sandpiper,Actitis macularius,5970,1,US-CA,El Dorado,"South Lake Tahoe, CA  96150, South Lake Tahoe US-CA (38.9400,-120.0036)",38.940048,-120.003616,2018-05-20,10:28 AM,eBird - Traveling Count,150,0,1.609,,1
S30097148,Spotted Sandpiper,Actitis macularius,5970,2,US-WA,King,US-WA-Renton-Cedar River Park - 47.4656x-122.1338,47.465567,-122.133835,2016-06-05,03:58 PM,eBird - Stationary Count,120,1,,,2,,,"Cesar river park along the cedar river  <br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S35590222,Pigeon Guillemot,Cepphus columba,6156,1,US-WA,King,US-WA-Seattle-1201 Alaskan Way - 47.6050x-122.3419,47.605024,-122.341896,2017-03-31,01:59 PM,eBird - Traveling Count,15,0,.322,,1
S35337115,Pigeon Guillemot,Cepphus columba,6156,1,US-WA,King,US-WA-Seattle-Seattle Waterfront - 47.6058x-122.3417,47.605758,-122.341681,2017-03-21,03:49 PM,eBird - Traveling Count,20,0,.322,,1
S30176926,Bonaparte's Gull,Chroicocephalus philadelphia,6210,3,US-WA,King,Elliot Bay,47.6345112,-122.4391079,2016-05-22,03:00 PM,eBird - Stationary Count,180,1,,,6
S57460862,Forster's Tern,Sterna forsteri,6477,4,US-CA,El Dorado,"96150, South Lake Tahoe US-CA (38.9406,-120.0042)",38.940647,-120.004236,2019-06-15,11:35 AM,eBird - Stationary Count,60,0,,,1
S45867884,Forster's Tern,Sterna forsteri,6477,3,US-CA,El Dorado,"South Lake Tahoe, CA  96150, South Lake Tahoe US-CA (38.9400,-120.0036)",38.940048,-120.003616,2018-05-20,10:28 AM,eBird - Traveling Count,150,0,1.609,,1
S33406259,Royal Tern,Thalasseus maximus,6486,5,MX-BCS,,MX-BCS-La Paz-Isla Espiritu Santo - 24.4356x-110.3488,24.435604,-110.34878,2016-12-31,08:47 AM,eBird - Traveling Count,300,0,8.047,,1
S25505711,Common Loon,Gavia immer,6547,5,US-WA,Clallam,Ediz Hook,48.14035,-123.44711,2015-10-18,04:30 PM,eBird - Stationary Count,60,0,,,2
S32786239,Common Loon,Gavia immer,6547,1,US-WA,Clallam,US-WA-Port Angeles-Olympic Discovery Trl - 48.1189x-123.4269,48.11891,-123.426897,2016-11-25,03:14 PM,eBird - Stationary Count,30,0,,,1
S33323975,Magnificent Frigatebird,Fregata magnificens,6903,12,MX-BCS,,MX-BCS-El Pescadero-Calle Sn 38 - 23.3638x-110.1685,23.363831,-110.168471,2016-12-29,09:36 PM,eBird - Stationary Count,120,0,,,1
S33406259,Blue-footed Booby,Sula nebouxii,6919,5,MX-BCS,,MX-BCS-La Paz-Isla Espiritu Santo - 24.4356x-110.3488,24.435604,-110.34878,2016-12-31,08:47 AM,eBird - Traveling Count,300,0,8.047,,1
S25505711,Double-crested Cormorant,Phalacrocorax auritus,6999,3,US-WA,Clallam,Ediz Hook,48.14035,-123.44711,2015-10-18,04:30 PM,eBird - Stationary Count,60,0,,,2
S34152310,Double-crested Cormorant,Phalacrocorax auritus,6999,4,US-WA,King,Seward Park,47.5538089,-122.2501301,2017-02-04,09:00 AM,eBird - Stationary Count,30,0,,,2
S34938247,Double-crested Cormorant,Phalacrocorax auritus,6999,20,US-WA,King,US-WA-Seattle-University of Washington - 47.6543x-122.2945,47.654333,-122.294485,2017-03-03,01:29 PM,eBird - Traveling Count,30,1,.805,,1
S25505775,Double-crested Cormorant,Phalacrocorax auritus,6999,4,US-WA,King,Union Bay Natural Area / Montlake Fill,47.65424,-122.29137,2015-10-16,03:30 PM,eBird - Stationary Count,60,1,,,2
S33406259,Brown Pelican,Pelecanus occidentalis,7030,30,MX-BCS,,MX-BCS-La Paz-Isla Espiritu Santo - 24.4356x-110.3488,24.435604,-110.34878,2016-12-31,08:47 AM,eBird - Traveling Count,300,0,8.047,,1
S25505711,Great Blue Heron,Ardea herodias,7092,1,US-WA,Clallam,Ediz Hook,48.14035,-123.44711,2015-10-18,04:30 PM,eBird - Stationary Count,60,0,,,2
